node,from,msg_id,hop,ttl,payload,timestamp
node132,172.18.0.65,c5caa2f9-dd94-4caa-a302-ea986d86189c,3,8,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.4742472
node144,172.18.0.41,c5caa2f9-dd94-4caa-a302-ea986d86189c,4,7,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.4769933
node139,172.18.0.51,c5caa2f9-dd94-4caa-a302-ea986d86189c,3,8,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.4785676
node141,172.18.0.136,c5caa2f9-dd94-4caa-a302-ea986d86189c,4,7,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.4819443
node133,172.18.0.136,c5caa2f9-dd94-4caa-a302-ea986d86189c,4,7,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.4823263
node140,172.18.0.130,c5caa2f9-dd94-4caa-a302-ea986d86189c,4,7,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.4869328
node150,172.18.0.17,c5caa2f9-dd94-4caa-a302-ea986d86189c,4,7,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.5079422
node134,172.18.0.29,c5caa2f9-dd94-4caa-a302-ea986d86189c,5,6,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.5110607
node142,172.18.0.139,c5caa2f9-dd94-4caa-a302-ea986d86189c,6,5,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.5116827
node149,172.18.0.110,c5caa2f9-dd94-4caa-a302-ea986d86189c,5,6,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.5167575
node138,172.18.0.149,c5caa2f9-dd94-4caa-a302-ea986d86189c,5,6,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.5245268
node148,172.18.0.89,c5caa2f9-dd94-4caa-a302-ea986d86189c,6,5,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.543536
node147,172.18.0.57,c5caa2f9-dd94-4caa-a302-ea986d86189c,8,3,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.5494192
node145,172.18.0.38,c5caa2f9-dd94-4caa-a302-ea986d86189c,5,6,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.5577428
node137,172.18.0.4,c5caa2f9-dd94-4caa-a302-ea986d86189c,5,6,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.5635254
node135,172.18.0.61,c5caa2f9-dd94-4caa-a302-ea986d86189c,7,4,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.6038241
node146,172.18.0.49,c5caa2f9-dd94-4caa-a302-ea986d86189c,6,5,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.6143968
node143,172.18.0.36,c5caa2f9-dd94-4caa-a302-ea986d86189c,6,5,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.6183438
node131,172.18.0.148,c5caa2f9-dd94-4caa-a302-ea986d86189c,7,4,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.657237
node136,172.18.0.33,c5caa2f9-dd94-4caa-a302-ea986d86189c,9,2,"{'temperature': 26.72, 'humidity': 48.48}",1746327143.659841
node132,172.18.0.65,1ea8327b-4975-42c0-ade5-80a3d113c46f,3,8,"{'temperature': 28.28, 'humidity': 41.14}",1746327153.4751472
node141,172.18.0.136,1ea8327b-4975-42c0-ade5-80a3d113c46f,4,7,"{'temperature': 28.28, 'humidity': 41.14}",1746327153.4758132
node133,172.18.0.136,1ea8327b-4975-42c0-ade5-80a3d113c46f,4,7,"{'temperature': 28.28, 'humidity': 41.14}",1746327153.4770455
node144,172.18.0.41,1ea8327b-4975-42c0-ade5-80a3d113c46f,4,7,"{'temperature': 28.28, 'humidity': 41.14}",1746327153.478856
