node,received,sent,energy
node132,28,0.0,14.0
node144,28,0.0,14.0
node146,28,0.0,14.0
node135,28,0.0,14.0
node137,28,0.0,14.0
node145,28,0.0,14.0
node147,28,0.0,14.0
node148,28,0.0,14.0
node138,28,0.0,14.0
node149,28,0.0,14.0
node142,28,0.0,14.0
node134,28,0.0,14.0
node150,28,0.0,14.0
node140,28,0.0,14.0
node133,28,0.0,14.0
node141,28,0.0,14.0
node139,28,0.0,14.0
node143,28,0.0,14.0
node131,27,0.0,13.5
node136,26,0.0,13.0
node103,5,0.0,2.5
node113,5,0.0,2.5
node111,5,0.0,2.5
node100,5,0.0,2.5
node96,5,0.0,2.5
node116,5,0.0,2.5
node107,5,0.0,2.5
node98,5,0.0,2.5
node110,5,0.0,2.5
node94,5,0.0,2.5
node109,5,0.0,2.5
node91,5,0.0,2.5
node97,5,0.0,2.5
node120,5,0.0,2.5
node95,5,0.0,2.5
node112,5,0.0,2.5
node117,5,0.0,2.5
node99,5,0.0,2.5
node114,5,0.0,2.5
node105,5,0.0,2.5
node102,5,0.0,2.5
node106,5,0.0,2.5
node93,5,0.0,2.5
node118,5,0.0,2.5
node108,5,0.0,2.5
node115,5,0.0,2.5
node104,5,0.0,2.5
node119,5,0.0,2.5
node101,5,0.0,2.5
node47,4,0.0,2.0
node57,4,0.0,2.0
node51,4,0.0,2.0
node44,4,0.0,2.0
node79,4,0.0,2.0
node54,4,0.0,2.0
node45,4,0.0,2.0
node75,4,0.0,2.0
node90,4,0.0,2.0
node72,4,0.0,2.0
node58,4,0.0,2.0
node67,4,0.0,2.0
node87,4,0.0,2.0
node88,4,0.0,2.0
node71,4,0.0,2.0
node60,4,0.0,2.0
node52,4,0.0,2.0
node84,4,0.0,2.0
node64,4,0.0,2.0
node63,4,0.0,2.0
node89,4,0.0,2.0
node65,4,0.0,2.0
node66,4,0.0,2.0
node48,4,0.0,2.0
node62,4,0.0,2.0
node83,4,0.0,2.0
node86,4,0.0,2.0
node78,4,0.0,2.0
node85,4,0.0,2.0
node49,4,0.0,2.0
node61,4,0.0,2.0
node68,4,0.0,2.0
node39,4,0.0,2.0
node73,4,0.0,2.0
node41,4,0.0,2.0
node70,4,0.0,2.0
node36,4,0.0,2.0
node53,4,0.0,2.0
node56,4,0.0,2.0
node50,4,0.0,2.0
node46,4,0.0,2.0
node81,4,0.0,2.0
node74,4,0.0,2.0
node43,4,0.0,2.0
node76,4,0.0,2.0
node92,4,0.0,2.0
node80,4,0.0,2.0
node59,4,0.0,2.0
node77,4,0.0,2.0
node82,4,0.0,2.0
node55,4,0.0,2.0
node69,4,0.0,2.0
node35,3,0.0,1.5
node37,3,0.0,1.5
node30,3,0.0,1.5
node16,3,0.0,1.5
node33,3,0.0,1.5
node17,3,0.0,1.5
node13,3,0.0,1.5
node40,3,0.0,1.5
node10,3,0.0,1.5
node28,3,0.0,1.5
node29,3,0.0,1.5
node7,3,0.0,1.5
node18,3,0.0,1.5
node34,3,0.0,1.5
node23,3,0.0,1.5
node26,3,0.0,1.5
node21,3,0.0,1.5
node14,3,0.0,1.5
node8,3,0.0,1.5
node31,3,0.0,1.5
node12,3,0.0,1.5
node32,3,0.0,1.5
node22,3,0.0,1.5
node11,3,0.0,1.5
node27,3,0.0,1.5
node24,3,0.0,1.5
node25,3,0.0,1.5
node19,3,0.0,1.5
node6,3,0.0,1.5
node15,3,0.0,1.5
node42,3,0.0,1.5
node20,3,0.0,1.5
node9,3,0.0,1.5
node38,3,0.0,1.5
node124,2,0.0,1.0
node130,2,0.0,1.0
node122,2,0.0,1.0
node121,2,0.0,1.0
node127,2,0.0,1.0
node4,2,0.0,1.0
node126,2,0.0,1.0
node125,2,0.0,1.0
node128,2,0.0,1.0
node5,2,0.0,1.0
node129,2,0.0,1.0
node123,2,0.0,1.0
node1,2,0.0,1.0
node2,2,0.0,1.0
node3,2,0.0,1.0
