node,count
node132,28
node144,28
node146,28
node135,28
node137,28
node145,28
node147,28
node148,28
node138,28
node149,28
node142,28
node134,28
node150,28
node140,28
node133,28
node141,28
node139,28
node143,28
node131,27
node136,26
node103,5
node113,5
node111,5
node100,5
node96,5
node116,5
node107,5
node98,5
node110,5
node94,5
node109,5
node91,5
node97,5
node120,5
node95,5
node112,5
node117,5
node99,5
node114,5
node105,5
node102,5
node106,5
node93,5
node118,5
node108,5
node115,5
node104,5
node119,5
node101,5
node47,4
node57,4
node51,4
node44,4
node79,4
node54,4
node45,4
node75,4
node90,4
node72,4
node58,4
node67,4
node87,4
node88,4
node71,4
node60,4
node52,4
node84,4
node64,4
node63,4
node89,4
node65,4
node66,4
node48,4
node62,4
node83,4
node86,4
node78,4
node85,4
node49,4
node61,4
node68,4
node39,4
node73,4
node41,4
node70,4
node36,4
node53,4
node56,4
node50,4
node46,4
node81,4
node74,4
node43,4
node76,4
node92,4
node80,4
node59,4
node77,4
node82,4
node55,4
node69,4
node35,3
node37,3
node30,3
node16,3
node33,3
node17,3
node13,3
node40,3
node10,3
node28,3
node29,3
node7,3
node18,3
node34,3
node23,3
node26,3
node21,3
node14,3
node8,3
node31,3
node12,3
node32,3
node22,3
node11,3
node27,3
node24,3
node25,3
node19,3
node6,3
node15,3
node42,3
node20,3
node9,3
node38,3
node124,2
node130,2
node122,2
node121,2
node127,2
node4,2
node126,2
node125,2
node128,2
node5,2
node129,2
node123,2
node1,2
node2,2
node3,2
