node,from,msg_id,hop,ttl,payload,timestamp
node58,172.18.0.34,81d2b37f-aa18-4683-a0ab-32190e521281,5,6,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.0623138
node58,172.18.0.34,81d2b37f-aa18-4683-a0ab-32190e521281,5,6,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.1672957
node53,172.18.0.32,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.1696084
node58,172.18.0.34,81d2b37f-aa18-4683-a0ab-32190e521281,5,6,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.2701159
node53,172.18.0.32,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.2802908
node58,172.18.0.34,81d2b37f-aa18-4683-a0ab-32190e521281,5,6,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.3728576
node47,172.18.0.32,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.3741472
node53,172.18.0.32,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.3832717
node50,172.18.0.7,81d2b37f-aa18-4683-a0ab-32190e521281,7,4,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.386062
node47,172.18.0.32,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.478619
node84,172.20.0.34,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.4789844
node53,172.18.0.32,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.4882252
node50,172.18.0.7,81d2b37f-aa18-4683-a0ab-32190e521281,7,4,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.4943836
node31,172.18.0.10,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.4962509
node47,172.18.0.32,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.5798147
node84,172.20.0.34,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.5828047
node42,172.18.0.24,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.5929272
node44,172.18.0.29,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.594563
node50,172.18.0.7,81d2b37f-aa18-4683-a0ab-32190e521281,7,4,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.5975375
node39,172.18.0.15,81d2b37f-aa18-4683-a0ab-32190e521281,9,2,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.6006534
node31,172.18.0.10,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.6016498
node47,172.18.0.32,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.6819792
node84,172.20.0.34,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.6848285
node50,172.18.0.7,81d2b37f-aa18-4683-a0ab-32190e521281,7,4,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.698925
node42,172.18.0.24,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.6999435
node44,172.18.0.29,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.702394
node52,172.18.0.23,81d2b37f-aa18-4683-a0ab-32190e521281,9,2,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.7040484
node31,172.18.0.10,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.7058225
node39,172.18.0.15,81d2b37f-aa18-4683-a0ab-32190e521281,9,2,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.7066872
node84,172.20.0.34,81d2b37f-aa18-4683-a0ab-32190e521281,6,5,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.7870233
node42,172.18.0.24,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.8037562
node44,172.18.0.29,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.8052468
node31,172.18.0.10,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.8073244
node39,172.18.0.15,81d2b37f-aa18-4683-a0ab-32190e521281,9,2,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.808317
node52,172.18.0.23,81d2b37f-aa18-4683-a0ab-32190e521281,9,2,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.8087087
node42,172.18.0.24,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.9055095
node44,172.18.0.29,81d2b37f-aa18-4683-a0ab-32190e521281,8,3,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.9064493
node39,172.18.0.15,81d2b37f-aa18-4683-a0ab-32190e521281,9,2,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.909419
node52,172.18.0.23,81d2b37f-aa18-4683-a0ab-32190e521281,9,2,"{'temperature': 20.91, 'humidity': 59.64}",1746604636.9103246
node52,172.18.0.23,81d2b37f-aa18-4683-a0ab-32190e521281,9,2,"{'temperature': 20.91, 'humidity': 59.64}",1746604637.0113094
node58,172.18.0.34,6da2256a-d746-464b-b4cd-a5a1716d7e94,5,6,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.3742042
node58,172.18.0.34,6da2256a-d746-464b-b4cd-a5a1716d7e94,5,6,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.4765315
node53,172.18.0.32,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.4770377
node58,172.18.0.34,6da2256a-d746-464b-b4cd-a5a1716d7e94,5,6,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.5973842
node53,172.18.0.32,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.5981739
node58,172.18.0.34,6da2256a-d746-464b-b4cd-a5a1716d7e94,5,6,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.7004743
node47,172.18.0.32,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.7015495
node50,172.18.0.7,6da2256a-d746-464b-b4cd-a5a1716d7e94,8,3,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.7026937
node53,172.18.0.32,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.705784
node47,172.18.0.32,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.8112822
node53,172.18.0.32,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.811849
node50,172.18.0.7,6da2256a-d746-464b-b4cd-a5a1716d7e94,8,3,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.8124182
node84,172.20.0.34,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.8132682
node47,172.18.0.32,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.9234688
node42,172.18.0.24,6da2256a-d746-464b-b4cd-a5a1716d7e94,8,3,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.924263
node84,172.20.0.34,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.9247875
node50,172.18.0.7,6da2256a-d746-464b-b4cd-a5a1716d7e94,8,3,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.9249947
node39,172.18.0.15,6da2256a-d746-464b-b4cd-a5a1716d7e94,9,2,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.9295034
node44,172.18.0.29,6da2256a-d746-464b-b4cd-a5a1716d7e94,9,2,"{'temperature': 20.12, 'humidity': 44.97}",1746604646.9307423
node50,172.18.0.7,6da2256a-d746-464b-b4cd-a5a1716d7e94,8,3,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.0266364
node52,172.18.0.23,6da2256a-d746-464b-b4cd-a5a1716d7e94,10,1,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.0273776
node84,172.20.0.34,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.0276718
node42,172.18.0.24,6da2256a-d746-464b-b4cd-a5a1716d7e94,8,3,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.028249
node47,172.18.0.32,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.029054
node44,172.18.0.29,6da2256a-d746-464b-b4cd-a5a1716d7e94,9,2,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.0331142
node39,172.18.0.15,6da2256a-d746-464b-b4cd-a5a1716d7e94,9,2,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.0364997
node42,172.18.0.24,6da2256a-d746-464b-b4cd-a5a1716d7e94,8,3,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.1317277
node84,172.20.0.34,6da2256a-d746-464b-b4cd-a5a1716d7e94,6,5,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.1327505
node52,172.18.0.23,6da2256a-d746-464b-b4cd-a5a1716d7e94,10,1,"{'temperature': 20.12, 'humidity': 44.97}",1746604647.1355205
