node,received,sent,energy
node120,28,0.0,14.0
node118,28,0.0,14.0
node117,28,0.0,14.0
node119,28,0.0,14.0
node116,27,0.0,13.5
node87,24,0.0,12.0
node105,24,0.0,12.0
node114,24,0.0,12.0
node86,24,0.0,12.0
node100,24,0.0,12.0
node103,24,0.0,12.0
node107,24,0.0,12.0
node94,24,0.0,12.0
node102,24,0.0,12.0
node85,24,0.0,12.0
node92,24,0.0,12.0
node96,24,0.0,12.0
node95,24,0.0,12.0
node113,24,0.0,12.0
node99,24,0.0,12.0
node112,24,0.0,12.0
node77,24,0.0,12.0
node90,24,0.0,12.0
node106,24,0.0,12.0
node115,24,0.0,12.0
node83,24,0.0,12.0
node80,24,0.0,12.0
node81,24,0.0,12.0
node89,24,0.0,12.0
node97,24,0.0,12.0
node76,24,0.0,12.0
node111,24,0.0,12.0
node88,24,0.0,12.0
node104,24,0.0,12.0
node101,24,0.0,12.0
node109,24,0.0,12.0
node79,24,0.0,12.0
node78,24,0.0,12.0
node98,24,0.0,12.0
node1,24,0.0,12.0
node82,24,0.0,12.0
node108,24,0.0,12.0
node91,24,0.0,12.0
node93,24,0.0,12.0
node75,21,0.0,10.5
node66,20,0.0,10.0
node67,20,0.0,10.0
node73,20,0.0,10.0
node64,20,0.0,10.0
node59,20,0.0,10.0
node62,20,0.0,10.0
node74,20,0.0,10.0
node65,20,0.0,10.0
node69,20,0.0,10.0
node57,20,0.0,10.0
node70,20,0.0,10.0
node63,20,0.0,10.0
node48,20,0.0,10.0
node71,20,0.0,10.0
node72,20,0.0,10.0
node22,16,0.0,8.0
node18,16,0.0,8.0
node32,16,0.0,8.0
node30,16,0.0,8.0
node8,16,0.0,8.0
node15,16,0.0,8.0
node34,16,0.0,8.0
node40,16,0.0,8.0
node9,16,0.0,8.0
node20,16,0.0,8.0
node3,16,0.0,8.0
node5,16,0.0,8.0
node12,16,0.0,8.0
node11,16,0.0,8.0
node29,16,0.0,8.0
node24,16,0.0,8.0
node16,16,0.0,8.0
node6,16,0.0,8.0
node27,16,0.0,8.0
node25,16,0.0,8.0
node28,16,0.0,8.0
node10,16,0.0,8.0
node7,16,0.0,8.0
node4,16,0.0,8.0
node17,16,0.0,8.0
node26,16,0.0,8.0
node23,16,0.0,8.0
node21,16,0.0,8.0
node14,16,0.0,8.0
node19,16,0.0,8.0
node13,16,0.0,8.0
node2,14,0.0,7.0
node68,14,0.0,7.0
node55,14,0.0,7.0
node54,14,0.0,7.0
node37,13,0.0,6.5
node61,12,0.0,6.0
node84,12,0.0,6.0
node33,10,0.0,5.0
node58,8,0.0,4.0
node53,8,0.0,4.0
node47,8,0.0,4.0
node50,8,0.0,4.0
node52,8,0.0,4.0
node39,8,0.0,4.0
node44,8,0.0,4.0
node42,8,0.0,4.0
node110,6,0.0,3.0
node43,5,0.0,2.5
node36,4,0.0,2.0
node31,4,0.0,2.0
node46,4,0.0,2.0
node35,4,0.0,2.0
node49,3,0.0,1.5
node45,3,0.0,1.5
node51,3,0.0,1.5
node41,3,0.0,1.5
node38,3,0.0,1.5
node60,3,0.0,1.5
node56,3,0.0,1.5
