node,from,msg_id,hop,ttl,payload,timestamp
node114,172.18.0.15,738f864f-7985-476b-93ca-f297bd8dfe20,11,0,"{'temperature': 20.77, 'humidity': 59.66}",1746602572.1862583
node114,172.18.0.15,7dd13e1f-7d09-4d32-bacf-c81d15f6a580,11,0,"{'temperature': 23.92, 'humidity': 58.77}",1746602582.6137826
node114,172.18.0.15,15118db8-20da-41ea-a8dc-dcf1f2747858,11,0,"{'temperature': 24.16, 'humidity': 48.21}",1746602592.802616
node7,172.18.0.7,482eb30a-243d-47be-b351-618fe930caa8,4,7,"{'temperature': 24.26, 'humidity': 59.59}",1746643939.865107
node7,172.18.0.7,482eb30a-243d-47be-b351-618fe930caa8,4,7,"{'temperature': 24.26, 'humidity': 59.59}",1746643939.9686959
node7,172.18.0.7,482eb30a-243d-47be-b351-618fe930caa8,4,7,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.0699437
node7,172.18.0.7,482eb30a-243d-47be-b351-618fe930caa8,4,7,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.1706378
node14,172.18.0.17,482eb30a-243d-47be-b351-618fe930caa8,6,5,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.1739247
node10,172.18.0.24,482eb30a-243d-47be-b351-618fe930caa8,6,5,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.2824996
node14,172.18.0.17,482eb30a-243d-47be-b351-618fe930caa8,6,5,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.2834988
node14,172.18.0.17,482eb30a-243d-47be-b351-618fe930caa8,6,5,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.3846228
node10,172.18.0.24,482eb30a-243d-47be-b351-618fe930caa8,6,5,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.3846498
node10,172.18.0.24,482eb30a-243d-47be-b351-618fe930caa8,6,5,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.4855201
node14,172.18.0.17,482eb30a-243d-47be-b351-618fe930caa8,6,5,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.4855506
node79,172.19.0.6,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.5848627
node93,172.20.0.32,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.5867603
node10,172.18.0.24,482eb30a-243d-47be-b351-618fe930caa8,6,5,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.5878854
node88,172.19.0.31,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.5879154
node81,172.19.0.6,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.685789
node116,172.20.0.32,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.687666
node79,172.19.0.6,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.6895733
node93,172.20.0.32,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.6905942
node102,172.20.0.19,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.6907742
node88,172.19.0.31,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.690788
node76,172.19.0.31,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7897131
node79,172.19.0.6,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7904882
node93,172.20.0.32,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7915082
node88,172.19.0.31,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7915168
node81,172.19.0.6,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7957184
node116,172.20.0.32,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7965605
node91,172.20.0.28,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7967339
node102,172.20.0.19,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7980225
node97,172.20.0.9,482eb30a-243d-47be-b351-618fe930caa8,9,2,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.798153
node86,172.19.0.17,482eb30a-243d-47be-b351-618fe930caa8,10,1,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.7986503
node79,172.19.0.6,482eb30a-243d-47be-b351-618fe930caa8,7,4,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.8920467
node66,172.19.0.4,482eb30a-243d-47be-b351-618fe930caa8,8,3,"{'temperature': 24.26, 'humidity': 59.59}",1746643940.8921962
