node,from,msg_id,hop,ttl,payload,timestamp
mesh-nodes-c466b6db7-5q9nb,10.244.0.37,3cf21573-5f72-4223-b060-f552dc488bec,2,24,"{'temperature': 20.8, 'humidity': 43.35}",1746649039.7966628
mesh-nodes-c466b6db7-wnfkx,10.244.0.37,3cf21573-5f72-4223-b060-f552dc488bec,2,24,"{'temperature': 20.8, 'humidity': 43.35}",1746649039.7968395
mesh-nodes-c466b6db7-x6qzv,10.244.0.37,3cf21573-5f72-4223-b060-f552dc488bec,2,24,"{'temperature': 20.8, 'humidity': 43.35}",1746649039.7988586
mesh-nodes-c466b6db7-nc4lf,10.244.0.114,3cf21573-5f72-4223-b060-f552dc488bec,3,23,"{'temperature': 20.8, 'humidity': 43.35}",1746649039.8075783
mesh-nodes-c466b6db7-zpcmw,10.244.0.114,3cf21573-5f72-4223-b060-f552dc488bec,3,23,"{'temperature': 20.8, 'humidity': 43.35}",1746649039.8093011
mesh-nodes-c466b6db7-qtt2b,10.244.0.114,3cf21573-5f72-4223-b060-f552dc488bec,3,23,"{'temperature': 20.8, 'humidity': 43.35}",1746649039.8123734
mesh-nodes-c466b6db7-k9qfp,10.244.0.114,3cf21573-5f72-4223-b060-f552dc488bec,3,23,"{'temperature': 20.8, 'humidity': 43.35}",1746649039.8127275
mesh-nodes-c466b6db7-tnp8k,10.244.0.37,bf3cfbae-6497-4451-b904-9de7b621044b,2,24,"{'temperature': 21.03, 'humidity': 44.85}",1746649040.8032668
mesh-nodes-c466b6db7-tsxzm,10.244.0.37,bf3cfbae-6497-4451-b904-9de7b621044b,2,24,"{'temperature': 21.03, 'humidity': 44.85}",1746649040.8055649
mesh-nodes-c466b6db7-7kn6b,10.244.0.37,bf3cfbae-6497-4451-b904-9de7b621044b,2,24,"{'temperature': 21.03, 'humidity': 44.85}",1746649040.80604
mesh-nodes-c466b6db7-nsbt4,10.244.0.37,c01ea40f-cc67-406d-84f6-937dbd300d52,2,24,"{'temperature': 22.48, 'humidity': 54.1}",1746649041.8125234
mesh-nodes-c466b6db7-vbn9l,10.244.0.37,c01ea40f-cc67-406d-84f6-937dbd300d52,2,24,"{'temperature': 22.48, 'humidity': 54.1}",1746649041.813405
mesh-nodes-c466b6db7-m9svw,10.244.0.37,c01ea40f-cc67-406d-84f6-937dbd300d52,2,24,"{'temperature': 22.48, 'humidity': 54.1}",1746649041.8134592
mesh-nodes-c466b6db7-47gs7,10.244.0.37,c01ea40f-cc67-406d-84f6-937dbd300d52,2,24,"{'temperature': 22.48, 'humidity': 54.1}",1746649041.813781
mesh-nodes-c466b6db7-7fmrd,10.244.0.37,8e739282-0b20-4294-a9ea-6c894c9d0bdd,2,24,"{'temperature': 26.55, 'humidity': 56.59}",1746649042.820044
mesh-nodes-c466b6db7-rzg2j,10.244.0.37,8e739282-0b20-4294-a9ea-6c894c9d0bdd,2,24,"{'temperature': 26.55, 'humidity': 56.59}",1746649042.821008
mesh-nodes-c466b6db7-p2rqk,10.244.0.37,8e739282-0b20-4294-a9ea-6c894c9d0bdd,2,24,"{'temperature': 26.55, 'humidity': 56.59}",1746649042.8211112
mesh-nodes-c466b6db7-24bhx,10.244.0.37,8e739282-0b20-4294-a9ea-6c894c9d0bdd,2,24,"{'temperature': 26.55, 'humidity': 56.59}",1746649042.8214295
mesh-nodes-c466b6db7-nbcq6,10.244.0.117,8e739282-0b20-4294-a9ea-6c894c9d0bdd,3,23,"{'temperature': 26.55, 'humidity': 56.59}",1746649042.8339083
mesh-nodes-c466b6db7-47gs7,10.244.0.117,8e739282-0b20-4294-a9ea-6c894c9d0bdd,3,23,"{'temperature': 26.55, 'humidity': 56.59}",1746649042.8354256
mesh-nodes-c466b6db7-gbdgm,10.244.0.117,8e739282-0b20-4294-a9ea-6c894c9d0bdd,3,23,"{'temperature': 26.55, 'humidity': 56.59}",1746649042.8373682
mesh-nodes-c466b6db7-rrrdh,10.244.0.77,8e739282-0b20-4294-a9ea-6c894c9d0bdd,4,22,"{'temperature': 26.55, 'humidity': 56.59}",1746649042.8379598
mesh-nodes-c466b6db7-dzmwk,10.244.0.77,8e739282-0b20-4294-a9ea-6c894c9d0bdd,4,22,"{'temperature': 26.55, 'humidity': 56.59}",1746649042.8390772
mesh-nodes-c466b6db7-ngsv6,10.244.0.37,2d6337f6-2de6-4e4b-b6cf-20476e19aeb5,2,24,"{'temperature': 29.82, 'humidity': 44.11}",1746649043.829899
mesh-nodes-c466b6db7-fjcpq,10.244.0.37,2d6337f6-2de6-4e4b-b6cf-20476e19aeb5,2,24,"{'temperature': 29.82, 'humidity': 44.11}",1746649043.8309658
mesh-nodes-c466b6db7-ft6x4,10.244.0.37,2d6337f6-2de6-4e4b-b6cf-20476e19aeb5,2,24,"{'temperature': 29.82, 'humidity': 44.11}",1746649043.831019
mesh-nodes-c466b6db7-hhx9m,10.244.0.37,2d6337f6-2de6-4e4b-b6cf-20476e19aeb5,2,24,"{'temperature': 29.82, 'humidity': 44.11}",1746649043.8321989
mesh-nodes-c466b6db7-nsbt4,10.244.0.37,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,2,24,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.8394387
mesh-nodes-c466b6db7-47gs7,10.244.0.37,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,2,24,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.8394432
mesh-nodes-c466b6db7-x6qzv,10.244.0.37,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,2,24,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.8399177
mesh-nodes-c466b6db7-k9j9p,10.244.0.37,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,2,24,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.840088
mesh-nodes-c466b6db7-tsxzm,10.244.0.32,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,3,23,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.843225
mesh-nodes-c466b6db7-klsrx,10.244.0.32,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,3,23,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.8477926
mesh-nodes-c466b6db7-7fmrd,10.244.0.35,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,4,22,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.8479655
mesh-nodes-c466b6db7-4ks6v,10.244.0.58,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,3,23,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.849758
mesh-nodes-c466b6db7-c2f2l,10.244.0.58,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,3,23,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.850043
mesh-nodes-c466b6db7-s492g,10.244.0.35,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,4,22,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.8507223
mesh-nodes-c466b6db7-h7xdn,10.244.0.58,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,3,23,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.8507433
mesh-nodes-c466b6db7-sgb8f,10.244.0.77,0193e3a3-9837-4a7e-b2b8-2c4dc765d012,3,23,"{'temperature': 23.59, 'humidity': 42.94}",1746649044.8507824
