node,received,sent,energy
mesh-nodes-c466b6db7-jdpsj,27,0.0,13.5
mesh-nodes-c466b6db7-qch47,26,0.0,13.0
mesh-nodes-c466b6db7-nsbt4,25,0.0,12.5
mesh-nodes-c466b6db7-xcgqw,23,0.0,11.5
mesh-nodes-c466b6db7-jnp9m,22,0.0,11.0
mesh-nodes-c466b6db7-svvxr,22,0.0,11.0
mesh-nodes-c466b6db7-pgl7f,22,0.0,11.0
mesh-nodes-c466b6db7-k9qfp,22,0.0,11.0
mesh-nodes-c466b6db7-wqlhs,22,0.0,11.0
mesh-nodes-c466b6db7-qjbb8,22,0.0,11.0
mesh-nodes-c466b6db7-nbcq6,22,0.0,11.0
mesh-nodes-c466b6db7-55p9c,21,0.0,10.5
mesh-nodes-c466b6db7-x6qzv,21,0.0,10.5
mesh-nodes-c466b6db7-85zlv,21,0.0,10.5
mesh-nodes-c466b6db7-sgb8f,20,0.0,10.0
mesh-nodes-c466b6db7-7c4kb,20,0.0,10.0
mesh-nodes-c466b6db7-rr4xz,20,0.0,10.0
mesh-nodes-c466b6db7-gbdgm,20,0.0,10.0
mesh-nodes-c466b6db7-7fmrd,20,0.0,10.0
mesh-nodes-c466b6db7-khmcw,20,0.0,10.0
mesh-nodes-c466b6db7-gkm67,20,0.0,10.0
mesh-nodes-c466b6db7-qtt2b,20,0.0,10.0
mesh-nodes-c466b6db7-df87l,20,0.0,10.0
mesh-nodes-c466b6db7-fm75h,19,0.0,9.5
mesh-nodes-c466b6db7-kd6s4,19,0.0,9.5
mesh-nodes-c466b6db7-vrb5p,19,0.0,9.5
mesh-nodes-c466b6db7-s492g,19,0.0,9.5
mesh-nodes-c466b6db7-hmcz2,19,0.0,9.5
mesh-nodes-c466b6db7-jsbn9,19,0.0,9.5
mesh-nodes-c466b6db7-wzl9q,19,0.0,9.5
mesh-nodes-c466b6db7-ft6x4,19,0.0,9.5
mesh-nodes-c466b6db7-nc4lf,19,0.0,9.5
mesh-nodes-c466b6db7-tnp8k,19,0.0,9.5
mesh-nodes-c466b6db7-tsxzm,19,0.0,9.5
mesh-nodes-c466b6db7-vbn9l,19,0.0,9.5
mesh-nodes-c466b6db7-hm9vr,19,0.0,9.5
mesh-nodes-c466b6db7-z4xsd,19,0.0,9.5
mesh-nodes-c466b6db7-rzg2j,19,0.0,9.5
mesh-nodes-c466b6db7-rrrdh,19,0.0,9.5
mesh-nodes-c466b6db7-xh2nj,19,0.0,9.5
mesh-nodes-c466b6db7-ngsv6,19,0.0,9.5
mesh-nodes-c466b6db7-nhlcd,19,0.0,9.5
mesh-nodes-c466b6db7-x8txj,18,0.0,9.0
mesh-nodes-c466b6db7-ghdpl,18,0.0,9.0
mesh-nodes-c466b6db7-cnckv,18,0.0,9.0
mesh-nodes-c466b6db7-shrsm,18,0.0,9.0
mesh-nodes-c466b6db7-wxxvw,18,0.0,9.0
mesh-nodes-c466b6db7-24bhx,18,0.0,9.0
mesh-nodes-c466b6db7-4ks6v,18,0.0,9.0
mesh-nodes-c466b6db7-7d5l5,18,0.0,9.0
mesh-nodes-c466b6db7-m9svw,18,0.0,9.0
mesh-nodes-c466b6db7-h7xdn,17,0.0,8.5
mesh-nodes-c466b6db7-2wzdr,17,0.0,8.5
mesh-nodes-c466b6db7-tpnxg,17,0.0,8.5
mesh-nodes-c466b6db7-fjcpq,17,0.0,8.5
mesh-nodes-c466b6db7-wnfkx,17,0.0,8.5
mesh-nodes-c466b6db7-98j27,17,0.0,8.5
mesh-nodes-c466b6db7-sbl6w,17,0.0,8.5
mesh-nodes-c466b6db7-47gs7,17,0.0,8.5
mesh-nodes-c466b6db7-hsfdp,17,0.0,8.5
mesh-nodes-c466b6db7-7kn6b,17,0.0,8.5
mesh-nodes-c466b6db7-hkx4m,17,0.0,8.5
mesh-nodes-c466b6db7-cd76c,17,0.0,8.5
mesh-nodes-c466b6db7-bllwz,17,0.0,8.5
mesh-nodes-c466b6db7-rtmmg,16,0.0,8.0
mesh-nodes-c466b6db7-p2rqk,16,0.0,8.0
mesh-nodes-c466b6db7-vwnln,16,0.0,8.0
mesh-nodes-c466b6db7-zpcmw,16,0.0,8.0
mesh-nodes-c466b6db7-m92q9,16,0.0,8.0
mesh-nodes-c466b6db7-b9dst,16,0.0,8.0
mesh-nodes-c466b6db7-5q7lv,16,0.0,8.0
mesh-nodes-c466b6db7-5t22d,16,0.0,8.0
mesh-nodes-c466b6db7-gzcps,16,0.0,8.0
mesh-nodes-c466b6db7-j7f7k,16,0.0,8.0
mesh-nodes-c466b6db7-87xrr,15,0.0,7.5
mesh-nodes-c466b6db7-z99ql,15,0.0,7.5
mesh-nodes-c466b6db7-jsgbx,15,0.0,7.5
mesh-nodes-c466b6db7-qmg7f,15,0.0,7.5
mesh-nodes-c466b6db7-kfrb9,15,0.0,7.5
mesh-nodes-c466b6db7-dk5ts,15,0.0,7.5
mesh-nodes-c466b6db7-2ndwk,15,0.0,7.5
mesh-nodes-c466b6db7-qrhj6,15,0.0,7.5
mesh-nodes-c466b6db7-md7p9,15,0.0,7.5
mesh-nodes-c466b6db7-c5bhr,15,0.0,7.5
mesh-nodes-c466b6db7-927zl,15,0.0,7.5
mesh-nodes-c466b6db7-dqg5d,14,0.0,7.0
mesh-nodes-c466b6db7-g9w92,14,0.0,7.0
mesh-nodes-c466b6db7-2z9nw,14,0.0,7.0
mesh-nodes-c466b6db7-5q9nb,14,0.0,7.0
mesh-nodes-c466b6db7-6qcm5,14,0.0,7.0
mesh-nodes-c466b6db7-h2ct9,14,0.0,7.0
mesh-nodes-c466b6db7-k9j9p,14,0.0,7.0
mesh-nodes-c466b6db7-klsrx,14,0.0,7.0
mesh-nodes-c466b6db7-c2f2l,14,0.0,7.0
mesh-nodes-c466b6db7-7wk7b,14,0.0,7.0
mesh-nodes-c466b6db7-g225z,14,0.0,7.0
mesh-nodes-c466b6db7-w8vbf,14,0.0,7.0
mesh-nodes-c466b6db7-8xqth,14,0.0,7.0
mesh-nodes-c466b6db7-tdwzl,14,0.0,7.0
mesh-nodes-c466b6db7-5j2jx,14,0.0,7.0
mesh-nodes-c466b6db7-77m2l,14,0.0,7.0
mesh-nodes-c466b6db7-7ghv6,13,0.0,6.5
mesh-nodes-c466b6db7-strdj,13,0.0,6.5
mesh-nodes-c466b6db7-dzmwk,13,0.0,6.5
mesh-nodes-c466b6db7-nmgmm,13,0.0,6.5
mesh-nodes-c466b6db7-6lp7s,13,0.0,6.5
mesh-nodes-c466b6db7-tkzfx,13,0.0,6.5
mesh-nodes-c466b6db7-p56j8,12,0.0,6.0
mesh-nodes-c466b6db7-4dpls,12,0.0,6.0
mesh-nodes-c466b6db7-6gcqx,12,0.0,6.0
mesh-nodes-c466b6db7-l9sjv,12,0.0,6.0
mesh-nodes-c466b6db7-ltmxf,12,0.0,6.0
mesh-nodes-c466b6db7-bfsv6,12,0.0,6.0
mesh-nodes-c466b6db7-hhx9m,11,0.0,5.5
mesh-nodes-c466b6db7-s8rhp,11,0.0,5.5
mesh-nodes-c466b6db7-vv2kx,11,0.0,5.5
mesh-nodes-c466b6db7-b52nx,10,0.0,5.0
mesh-nodes-c466b6db7-9rhgn,10,0.0,5.0
mesh-nodes-c466b6db7-btqj6,9,0.0,4.5
mesh-nodes-c466b6db7-b7nrx,9,0.0,4.5
